id_venda,data_venda,cliente,produto,categoria,regiao,quantidade,preco_unitario
38,2025-02-23,Cliente_050,Headset,Perifericos,Centro-Oeste,8.0,327.5
39,2025-05-21,Cliente_042,Mouse,Perifericos,Sudeste,6.0,130.31
40,2025-07-13,Cliente_045,Smartphone,Celulares,Nordeste,8.0,2496.9
41,2025-01-16,cliente#012,Headset,Perifericos,Sul,4.0,318.56
42,2025-12-13,Cliente_011,Smartphone,Celulares,Norte,9.0,2450.78
43,2025-03-04,cliente#010,Mouse,Perifericos,Centro-Oeste,,125.84
44,2025-11-23,Cliente_046,Notebook,Computadores,Nordeste,6.0,3649.76
45,2025-07-10,Cliente_035,Mouse,Perifericos,Centro-Oeste,4.0,133.26
46,2025-02-22,Cliente_023,  Monitor ,Computadores,Centro-Oeste,1.0,1072.46
47,2025-11-25,Cliente_032,Smartphone,Celulares,Norte,9.0,2447.18
48,2025-05-27,Cliente_028,Mouse,Perifericos,Sudeste,10.0,130.7
49,2025-08-05,Cliente_029,Headset,Perifericos,Nordeste,7.0,311.29
50,2025-09-23,Cliente_048,Smartphone,Celulares,Norte,5.0,2362.68
51,2025-10-04,Cliente_001,Notebook,Computadores,Sul,2.0,3630.21
52,2025-02-23,Cliente_033,Smartphone,Celulares,Norte,6.0,2093.75
53,2025-06-17,Cliente_047,Tablet,Celulares,Norte,10.0,1740.54
54,2025-06-09,Cliente_031,Monitor,Computadores,Nordeste,1.0,1286.29
55,2025-04-09,Cliente_039,Tablet,Celulares,Sul,9.0,1952.94
56,2025-06-18,Cliente_040,Mouse,Perifericos,Sul,7.0,125.27
57,2025-08-29,Cliente_043,Notebook,Computadores,Sul,2.0,3092.21
58,2025-07-25,CLIENTE-031,Smartphone,Celulares,Norte,1.0,2520.4
59,2025-01-20,Cliente_011,Mouse,Perifericos,Norte,1.0,
60,2025-09-30,Cliente_046,Teclado,Perifericos,Centro-Oeste,7.0,281.76
61,2025-08-22,Cliente_008,Monitor,Computadores,Sul,9.0,1076.26
62,2025-09-24,Cliente_011,Mouse,Perifericos,Norte,3.0,132.98
63,2025-11-11,Cliente_008,Smartphone,Celulares,Sul,9.0,2445.09
64,2025-01-07,Cliente_030,Headset,Perifericos,Sudeste,9.0,304.35
65,2025-07-06,Cliente_010,Headset,Perifericos,Norte,4.0,397.44
66,2025-01-18,Cliente_012,Tablet,Celulares,Sul,4.0,1757.74
67,2025-05-11,Cliente_039,Tablet,Celulares,Sul,4.0,
68,2025-10-07,Cliente_027!!,Monitor,Computadores,Nordeste,2.0,1263.51
69,2025-05-12,CLIENTE-005,Headset,Perifericos,Sudeste,8.0,397.18
70,2025-08-07,Cliente_040,Monitor,Computadores,Sul,,1140.6
71,2025-02-22,Cliente_016,Teclado,Perifericos,Sul,4.0,232.48
72,2025-02-26,Cliente_033,Mouse,Perifericos,Norte,4.0,126.97
73,2025-05-09,Cliente_031,Smartphone,Celulares,Nordeste,8.0,1908.0
74,2025-07-25,Cliente_045,  Mouse ,Perifericos,Sudeste,,102.85
75,2025-07-02,Cliente_048,Monitor,Computadores,Centro-Oeste,1.0,1066.59
76,2025-05-29,Cliente_010,Smartphone,Celulares,Centro-Oeste,6.0,1962.85
77,2025-03-20,Cliente_031,Teclado,Perifericos,Nordeste,7.0,276.37
78,2025-07-19,cliente#011,Mouse,Perifericos,Nordeste,7.0,121.66
79,2025-12-17,Cliente_026,Notebook,Computadores,Sul,8.0,3671.35
80,2025-11-26,Cliente_018,Mouse,Perifericos,Sul,8.0,109.64
81,2025-05-14,Cliente_011,Teclado,Perifericos,Nordeste,6.0,267.07
82,2025-02-24,Cliente_048,Monitor,Computadores,Sul,8.0,1294.33
83,2025-05-09,Cliente_045,Mouse,Perifericos,Centro-Oeste,,132.72
84,2025-04-22,Cliente_043,Tablet,Celulares,Nordeste,10.0,1789.01
85,2025-05-10,Cliente_019,Notebook,Computadores,Norte,,3461.34
86,2025-01-28,CLIENTE-050,Headset,Perifericos,Nordeste,7.0,353.48
87,2025-02-17,Cliente_004,Headset,Perifericos,Nordeste,,310.01
88,2025-03-30,Cliente_023,Tablet,Celulares,Sudeste,9.0,1784.21
89,2025-12-16,Cliente_001,Tablet,Celulares,Sul,3.0,1639.31
90,2025-10-30,Cliente_031,Mouse,Perifericos,Centro-Oeste,10.0,130.58
91,2025-12-23,Cliente_050,Smartphone,Celulares,Nordeste,9.0,1928.43
92,2025-06-01,Cliente_029,Notebook,Computadores,Norte,2.0,3747.34
93,2025-08-19,Cliente_034,Teclado,Perifericos,Sudeste,7.0,219.4
94,2025-01-26,Cliente_020,Headset,Perifericos,Centro-Oeste,5.0,370.22
95,2025-03-12,Cliente_038,Smartphone,Celulares,Sul,6.0,2404.07
96,2025-12-02,Cliente_040,Notebook,Computadores,Sudeste,9.0,3150.31
97,2025-10-17,Cliente_016,Mouse,Perifericos,Sul,1.0,102.3
98,2025-04-07,Cliente_010,Headset,Perifericos,Nordeste,9.0,363.88
99,2025-08-03,Cliente_031,Mouse,Perifericos,Sudeste,,105.92
100,2025-03-04,Cliente_010,Tablet,Celulares,Norte,6.0,1621.68
101,2025-12-25,  Cliente_045,Notebook,Computadores,Centro-Oeste,2.0,3381.48
102,2025-06-27,cliente#007,Notebook,Computadores,Sudeste,9.0,3197.38
103,2025-10-11,Cliente_004,Tablet,Celulares,Sul,9.0,1587.3
104,2025-04-01,Cliente_039,Notebook,Computadores,Centro-Oeste,4.0,3297.88
105,2025-08-22,Cliente_033,Monitor,Computadores,Sul,8.0,1131.3
106,2025-04-01,CLIENTE-019,Monitor,Computadores,Nordeste,2.0,1350.51
107,2025-01-14,Cliente_031,Monitor,Computadores,Centro-Oeste,3.0,1129.9
108,2025-07-28,Cliente_013,Mouse,Perifericos,Norte,1.0,134.9
109,2025-12-19,Cliente_025,  Smartphone ,Celulares,Norte,6.0,1945.7
110,2025-06-28,Cliente_049,Monitor,Computadores,Norte,8.0,1333.1
111,2025-10-18,Cliente_046,Monitor,Computadores,Sul,4.0,1294.39
112,2025-07-07,Cliente_017,Notebook,Computadores,Sudeste,7.0,3211.07
113,2025-07-25,Cliente_013,Mouse,Perifericos,Nordeste,2.0,119.74
114,2025-10-01,Cliente_024,Tablet,Celulares,Sul,10.0,1535.12
115,2025-01-09,Cliente_010,Mouse,Perifericos,Sul,9.0,118.93
116,2025-01-04,Cliente_006,Smartphone,Celulares,Norte,1.0,2277.8
117,2025-03-04,Cliente_050,Tablet,Celulares,Centro-Oeste,6.0,1982.49
118,2025-01-12,Cliente_003,Tablet,Celulares,Nordeste,4.0,1784.21
119,2025-03-18,Cliente_050,Mouse,Perifericos,Sudeste,5.0,
120,2025-02-15,  Cliente_013,Teclado,Perifericos,Sudeste,9.0,268.51
121,2025-06-22,Cliente_028,Smartphone,Celulares,Nordeste,9.0,2219.72
122,2025-11-30,Cliente_018,Monitor,Computadores,Sudeste,3.0,1208.05
123,2025-03-15,Cliente_049,Monitor,Computadores,Nordeste,9.0,1288.02
124,2025-06-07,Cliente_013,Smartphone,Celulares,Sudeste,7.0,2370.64
125,2025-09-21,Cliente_010,Headset,Perifericos,Centro-Oeste,4.0,326.34
126,2025-10-27,Cliente_023,Headset,Perifericos,Norte,,385.74
127,2025-01-16,Cliente_047,  Teclado ,Perifericos,Nordeste,6.0,234.34
128,2025-04-17,Cliente_021,Tablet,Celulares,Centro-Oeste,7.0,2052.24
129,2025-03-16,Cliente_040,Headset,Perifericos,Sudeste,6.0,304.87
130,2025-11-15,Cliente_006,Teclado,Perifericos,Sul,8.0,249.01
131,2025-04-17,Cliente_030,Mouse,Perifericos,Sudeste,6.0,107.34
132,2025-05-07,  Cliente_040,Teclado,Perifericos,Nordeste,7.0,271.87
133,DATA INVALIDA,Cliente_013,Headset,Perifericos,Centro-Oeste,5.0,381.02
134,2025-12-06,Cliente_002,Mouse,Perifericos,Centro-Oeste,3.0,131.82
135,2025-01-15,Cliente_045,Headset,Perifericos,Sudeste,7.0,355.03
136,2025-07-09,Cliente_040,Notebook,Computadores,Sudeste,5.0,3964.88
137,2025-08-08,Cliente_038,Teclado,Perifericos,Norte,,271.38
138,2025-07-10,Cliente_029,  Teclado ,Perifericos,Sul,7.0,213.24
139,2025-04-13,Cliente_043,Headset,Perifericos,Norte,3.0,357.43
140,2025-02-14,Cliente_038,Smartphone,Celulares,Sudeste,2.0,2104.27
141,2025-03-03,Cliente_013,Smartphone,Celulares,Norte,9.0,1876.52
142,2025-12-26,Cliente_034,Smartphone,Celulares,Sul,2.0,1888.69
143,2025-11-26,Cliente_029,Notebook,Computadores,Nordeste,9.0,
144,2025-03-07,  Cliente_047,Mouse,Perifericos,Norte,8.0,120.08
145,DATA INVALIDA,Cliente_028,Notebook,Computadores,Norte,7.0,3703.8
146,2025-01-17,Cliente_013,Headset,Perifericos,Sudeste,10.0,352.6
147,2025-12-15,Cliente_001,Tablet,Celulares,Sudeste,1.0,1601.01
148,2025-12-21,Cliente_030,Mouse,Perifericos,Centro-Oeste,6.0,126.45
149,2025-01-07,CLIENTE-018,Teclado,Perifericos,Sul,1.0,238.69
150,2025-07-05,Cliente_030,Monitor,Computadores,Sudeste,,1196.28
151,2025-02-16,Cliente_017,Teclado,Perifericos,Norte,4.0,236.83
152,2025-02-01,Cliente_047,Teclado,Perifericos,Nordeste,7.0,275.19
153,2025-05-13,Cliente_049,Mouse,Perifericos,Nordeste,2.0,113.29
154,2025-01-19,  Cliente_015,Teclado,Perifericos,Sul,7.0,272.64
155,2025-07-25,Cliente_014,Headset,Perifericos,Nordeste,6.0,
156,2025-02-14,Cliente_038,Smartphone,Celulares,Sul,9.0,2083.15
157,DATA INVALIDA,Cliente_050,Notebook,Computadores,Norte,7.0,3776.27
158,2025-10-12,Cliente_001,Headset,Perifericos,Centro-Oeste,6.0,362.69
159,2025-09-21,Cliente_029,Tablet,Celulares,Nordeste,1.0,1686.21
160,2025-02-10,Cliente_016,Teclado,Perifericos,Centro-Oeste,2.0,235.4
161,2025-06-13,Cliente_001,Teclado,Perifericos,Norte,9.0,250.16
162,2025-06-03,Cliente_023,Smartphone,Celulares,Norte,7.0,2026.99
163,2025-02-12,Cliente_026,Headset,Perifericos,Sul,,361.57
164,2025-11-29,Cliente_019,Headset,Perifericos,Nordeste,2.0,346.61
165,2025-10-17,Cliente_045,  Tablet ,Celulares,Centro-Oeste,4.0,1684.56
166,DATA INVALIDA,Cliente_010,Headset,Perifericos,Norte,3.0,341.98
167,2025-01-08,Cliente_017,Headset,Perifericos,Centro-Oeste,4.0,353.74
168,2025-01-04,Cliente_016,Smartphone,Celulares,Centro-Oeste,1.0,2489.2
169,2025-03-31,Cliente_034,Teclado,Perifericos,Sudeste,1.0,277.12
170,2025-06-20,CLIENTE-034,Tablet,Celulares,Centro-Oeste,1.0,1612.3
171,2025-10-07,Cliente_030,Teclado,Perifericos,Norte,4.0,267.59
172,2025-02-27,Cliente_045,Headset,Perifericos,Norte,,326.05
173,2025-06-30,Cliente_009,Monitor,Computadores,Centro-Oeste,4.0,1160.61
174,2025-09-19,Cliente_039,Monitor,Computadores,Sul,5.0,1229.84
175,2025-05-15,Cliente_017,Tablet,Celulares,Sul,4.0,1896.9
176,2025-01-27,Cliente_028,Notebook,Computadores,Norte,4.0,2976.3
177,2025-11-23,Cliente_022!!,Tablet,Celulares,Norte,5.0,2050.99
178,2025-06-13,Cliente_037,Notebook,Computadores,Sul,2.0,3011.26
179,2025-03-01,Cliente_024,Tablet,Celulares,Nordeste,7.0,1629.96
180,2025-01-16,Cliente_018,Headset,Perifericos,Norte,2.0,398.93
181,2025-12-17,Cliente_016,Notebook,Computadores,Sudeste,4.0,3553.94
182,2025-04-06,Cliente_003!!,Headset,Perifericos,Norte,10.0,379.77
183,2025-10-22,Cliente_003,Teclado,Perifericos,Sul,,220.17
184,2025-05-17,Cliente_033,Teclado,Perifericos,Sul,2.0,223.23
185,2025-08-28,Cliente_021,  Headset ,Perifericos,Centro-Oeste,3.0,303.27
186,2025-12-31,Cliente_012!!,Monitor,Computadores,Nordeste,2.0,1379.4
187,2025-12-03,Cliente_043,Mouse,Perifericos,Sudeste,5.0,132.78
188,2025-01-29,Cliente_017,Teclado,Perifericos,Norte,6.0,221.76
189,2025-01-23,Cliente_041,Tablet,Celulares,Sul,2.0,1573.92
190,2025-10-03,Cliente_040,Tablet,Celulares,Sudeste,3.0,1947.46
191,2025-04-19,Cliente_043,Headset,Perifericos,Centro-Oeste,2.0,318.23
192,2025-10-02,Cliente_015,Smartphone,Celulares,Nordeste,7.0,2112.28
193,2025-04-08,Cliente_044,Tablet,Celulares,Centro-Oeste,4.0,1798.74
194,2025-12-31,Cliente_022,Monitor,Computadores,Centro-Oeste,2.0,1341.84
195,2025-11-15,Cliente_044,Monitor,Computadores,Sudeste,10.0,1321.09
196,2025-05-11,Cliente_023,Notebook,Computadores,Sudeste,1.0,3720.51
197,2025-01-13,Cliente_016,Monitor,Computadores,Norte,10.0,1349.38
198,DATA INVALIDA,Cliente_007,  Smartphone ,Celulares,Sudeste,1.0,2208.62
199,2025-08-01,Cliente_031,Teclado,Perifericos,Nordeste,1.0,282.28
200,2025-08-17,Cliente_029,Tablet,Celulares,Centro-Oeste,6.0,1536.7
201,2025-08-20,Cliente_008,Smartphone,Celulares,Nordeste,1.0,2144.12
202,2025-05-10,Cliente_042,Teclado,Perifericos,Nordeste,1.0,275.49
203,2025-06-04,Cliente_016,Notebook,Computadores,Centro-Oeste,1.0,3102.67
204,2025-09-10,Cliente_010,Mouse,Perifericos,Sudeste,5.0,121.24
205,2025-12-26,Cliente_005,Headset,Perifericos,Norte,8.0,361.27
206,2025-06-22,Cliente_004,Headset,Perifericos,Sudeste,9.0,390.09
207,2025-09-07,Cliente_007,Mouse,Perifericos,Centro-Oeste,8.0,107.23
208,2025-04-09,Cliente_050,Monitor,Computadores,Nordeste,7.0,1224.45
209,2025-03-18,Cliente_014,Tablet,Celulares,Norte,1.0,1735.08
210,2025-11-17,Cliente_028!!,Headset,Perifericos,Sul,4.0,314.78
211,2025-03-09,Cliente_020,Notebook,Computadores,Norte,5.0,3699.07
212,2025-06-20,Cliente_037,Monitor,Computadores,Sudeste,3.0,1144.86
213,2025-05-16,Cliente_033,Headset,Perifericos,Centro-Oeste,1.0,344.79
214,2025-02-13,Cliente_047,Tablet,Celulares,Norte,9.0,2026.07
215,2025-01-18,Cliente_032,Teclado,Perifericos,Norte,1.0,220.64
216,2025-10-12,Cliente_039,Teclado,Perifericos,Nordeste,2.0,251.85
217,2025-05-18,Cliente_040,Notebook,Computadores,Nordeste,1.0,3396.78
218,2025-04-11,Cliente_008,Mouse,Perifericos,Sul,9.0,
219,2025-12-04,Cliente_035,Teclado,Perifericos,Sudeste,8.0,274.6
220,2025-07-27,Cliente_033,Monitor,Computadores,Sul,3.0,1132.53
221,2025-02-01,Cliente_033,Headset,Perifericos,Centro-Oeste,8.0,361.84
222,2025-12-17,Cliente_014,Smartphone,Celulares,Norte,5.0,2037.03
223,2025-03-09,Cliente_026,Mouse,Perifericos,Sul,3.0,103.54
224,2025-09-22,Cliente_031,Monitor,Computadores,Nordeste,5.0,1276.41
225,2025-05-20,Cliente_049,Notebook,Computadores,Sul,5.0,3541.2
226,2025-11-24,Cliente_002,Tablet,Celulares,Nordeste,10.0,
227,2025-07-03,Cliente_009,Mouse,Perifericos,Sul,8.0,136.92
228,2025-09-30,Cliente_040,  Headset ,Perifericos,Sul,1.0,313.93
229,2025-02-06,Cliente_014,Monitor,Computadores,Centro-Oeste,4.0,1258.16
230,2025-01-07,Cliente_022,Notebook,Computadores,Sul,10.0,3579.86
231,2025-06-20,Cliente_039,Notebook,Computadores,Nordeste,8.0,3088.15
232,2025-11-14,Cliente_039,Teclado,Perifericos,Centro-Oeste,1.0,240.44
233,2025-10-14,Cliente_015,Tablet,Celulares,Sudeste,1.0,1797.09
234,2025-09-26,Cliente_038,Monitor,Computadores,Nordeste,8.0,1217.49
235,2025-01-18,Cliente_013,Headset,Perifericos,Norte,4.0,375.29
236,2025-02-20,Cliente_030,Monitor,Computadores,Sudeste,7.0,1210.14
237,2025-11-08,Cliente_014,Smartphone,Celulares,Centro-Oeste,1.0,2055.23
238,2025-02-22,Cliente_049,Smartphone,Celulares,Sul,2.0,1870.49
239,2025-12-29,Cliente_040,Headset,Perifericos,Sudeste,10.0,400.64
240,2025-07-25,Cliente_011,Teclado,Perifericos,Nordeste,5.0,256.45
241,2025-04-08,Cliente_019,Tablet,Celulares,Sul,5.0,1794.15
242,2025-04-09,Cliente_039,Teclado,Perifericos,Sul,4.0,221.15
243,2025-10-13,Cliente_032,Monitor,Computadores,Centro-Oeste,1.0,
244,2025-02-05,Cliente_024,Teclado,Perifericos,Norte,6.0,241.52
245,2025-11-08,Cliente_003,Headset,Perifericos,Nordeste,9.0,298.72
246,2025-11-22,Cliente_016,Headset,Perifericos,Norte,3.0,308.3
247,2025-08-05,Cliente_007,Notebook,Computadores,Nordeste,10.0,3314.89
248,2025-01-10,Cliente_041,Headset,Perifericos,Sudeste,1.0,332.5
249,2025-09-24,Cliente_022,Teclado,Perifericos,Sul,6.0,244.63
250,2025-12-07,Cliente_048,Mouse,Perifericos,Nordeste,9.0,107.26
251,2025-05-10,Cliente_009,Smartphone,Celulares,Nordeste,5.0,2400.81
252,2025-03-23,Cliente_006,Headset,Perifericos,Sudeste,3.0,
253,2025-05-24,Cliente_038,Notebook,Computadores,Centro-Oeste,9.0,3233.79
254,2025-01-11,Cliente_009,Headset,Perifericos,Sul,9.0,331.21
255,2025-04-12,Cliente_033,Notebook,Computadores,Norte,9.0,3193.52
256,2025-10-25,Cliente_014,Teclado,Perifericos,Centro-Oeste,4.0,215.93
257,2025-05-25,Cliente_048,Mouse,Perifericos,Sul,6.0,
258,2025-04-20,cliente#035,Headset,Perifericos,Norte,9.0,344.98
259,2025-06-07,Cliente_034,Teclado,Perifericos,Sudeste,9.0,250.05
260,2025-07-09,Cliente_040,Tablet,Celulares,Centro-Oeste,6.0,1632.82
261,2025-06-29,Cliente_050,Headset,Perifericos,Sul,6.0,
262,2025-10-17,Cliente_042,Teclado,Perifericos,Sudeste,1.0,271.72
263,2025-09-14,Cliente_041,Smartphone,Celulares,Centro-Oeste,7.0,2315.7
264,2025-12-25,Cliente_015,Notebook,Computadores,Nordeste,9.0,3363.09
265,2025-08-28,Cliente_046,Smartphone,Celulares,Sudeste,7.0,2307.28
266,2025-12-03,Cliente_046,Teclado,Perifericos,Centro-Oeste,2.0,275.83
267,2025-05-25,Cliente_032,Tablet,Celulares,Nordeste,8.0,1825.26
268,2025-08-27,Cliente_024,Smartphone,Celulares,Sudeste,2.0,
269,2025-08-01,cliente#003,Tablet,Celulares,Norte,3.0,1965.16
270,2025-12-14,Cliente_040,  Tablet ,Celulares,Sudeste,1.0,1827.43
271,2025-01-30,Cliente_045,Headset,Perifericos,Nordeste,,400.19
272,2025-04-15,Cliente_011,Tablet,Celulares,Sul,3.0,1541.36
273,2025-07-21,Cliente_032,Notebook,Computadores,Nordeste,6.0,3904.15
274,2025-08-28,Cliente_010,Tablet,Celulares,Sul,9.0,1530.79
275,2025-06-26,Cliente_022,Headset,Perifericos,Norte,1.0,362.14
276,DATA INVALIDA,CLIENTE-018,Mouse,Perifericos,Nordeste,3.0,104.83
277,2025-01-30,Cliente_047,  Teclado ,Perifericos,Sudeste,4.0,248.22
278,DATA INVALIDA,  Cliente_046,Headset,Perifericos,Sul,5.0,361.57
279,2025-04-12,cliente#012,Notebook,Computadores,Nordeste,7.0,3594.04
280,2025-02-22,Cliente_031!!,Monitor,Computadores,Sul,4.0,
281,2025-03-11,Cliente_002!!,Smartphone,Celulares,Nordeste,6.0,2068.78
282,2025-07-17,Cliente_004,  Headset ,Perifericos,Centro-Oeste,7.0,311.64
283,2025-10-07,Cliente_028,Headset,Perifericos,Sudeste,1.0,365.12
284,2025-05-12,Cliente_035,Headset,Perifericos,Centro-Oeste,1.0,359.9
285,2025-05-31,Cliente_009,Headset,Perifericos,Nordeste,9.0,386.16
286,2025-04-21,Cliente_050,Notebook,Computadores,Sudeste,9.0,3376.35
287,2025-09-19,cliente#008,Notebook,Computadores,Sudeste,10.0,3682.04
288,2025-08-28,Cliente_047,Teclado,Perifericos,Norte,2.0,255.28
289,2025-03-23,Cliente_049,Smartphone,Celulares,Nordeste,9.0,2442.21
290,2025-02-07,Cliente_017,Smartphone,Celulares,Nordeste,9.0,2167.12
291,2025-07-03,Cliente_017,Headset,Perifericos,Nordeste,6.0,392.3
292,2025-01-05,Cliente_037,Tablet,Celulares,Centro-Oeste,2.0,1550.81
293,2025-01-04,Cliente_037,Smartphone,Celulares,Sul,6.0,2477.43
294,2025-04-13,Cliente_011,  Smartphone ,Celulares,Centro-Oeste,,
295,2025-06-22,Cliente_022,Smartphone,Celulares,Sudeste,2.0,2501.83
296,2025-07-24,Cliente_019,Mouse,Perifericos,Norte,2.0,120.05
297,2025-09-15,Cliente_048,Headset,Perifericos,Centro-Oeste,10.0,305.51
298,2025-03-26,Cliente_004,Monitor,Computadores,Centro-Oeste,7.0,1276.92
299,2025-10-05,Cliente_041,Teclado,Perifericos,Norte,2.0,227.33
300,2025-01-16,Cliente_035,Monitor,Computadores,Norte,2.0,1222.05
301,2025-06-20,Cliente_013,Teclado,Perifericos,Norte,1.0,270.0
302,2025-07-28,Cliente_002,Headset,Perifericos,Centro-Oeste,7.0,318.74
303,2025-02-13,Cliente_036,Teclado,Perifericos,Sudeste,6.0,214.68
304,2025-02-03,Cliente_033,Smartphone,Celulares,Sul,2.0,2317.55
305,2025-07-21,Cliente_046,Teclado,Perifericos,Sul,1.0,287.15
306,2025-05-10,Cliente_049,Headset,Perifericos,Sul,,401.15
307,2025-04-15,Cliente_018,Monitor,Computadores,Sul,3.0,1309.19
308,2025-05-22,Cliente_032,Notebook,Computadores,Norte,10.0,3625.59
309,2025-12-07,Cliente_050,  Headset ,Perifericos,Norte,1.0,380.91
310,2025-03-21,Cliente_047,Smartphone,Celulares,Centro-Oeste,,2307.55
311,2025-04-16,CLIENTE-005,Headset,Perifericos,Centro-Oeste,2.0,370.36
312,2025-04-11,Cliente_036,Mouse,Perifericos,Nordeste,,123.25
313,2025-04-20,Cliente_033,Tablet,Celulares,Sul,7.0,1968.51
314,2025-01-15,Cliente_030,Smartphone,Celulares,Sul,2.0,2087.75
315,2025-07-31,Cliente_007,Mouse,Perifericos,Norte,2.0,102.8
316,2025-12-08,Cliente_010,Notebook,Computadores,Sudeste,1.0,3405.64
317,2025-02-09,Cliente_025,Headset,Perifericos,Centro-Oeste,,349.86
318,DATA INVALIDA,Cliente_021,Tablet,Celulares,Nordeste,,1919.67
319,2025-03-07,Cliente_040,Mouse,Perifericos,Nordeste,6.0,114.06
320,2025-03-08,Cliente_039,Smartphone,Celulares,Nordeste,9.0,2010.16
321,2025-04-01,Cliente_007,Headset,Perifericos,Norte,3.0,371.31
322,2025-11-23,  Cliente_030,Monitor,Computadores,Nordeste,5.0,1153.39
323,2025-09-23,Cliente_006,Headset,Perifericos,Centro-Oeste,4.0,337.06
324,2025-03-14,Cliente_042,Notebook,Computadores,Nordeste,4.0,3863.93
325,2025-04-16,Cliente_031,  Smartphone ,Celulares,Sul,6.0,
326,2025-04-08,Cliente_014,Smartphone,Celulares,Nordeste,8.0,2094.36
327,2025-12-11,Cliente_016,Headset,Perifericos,Norte,6.0,360.95
328,2025-03-07,Cliente_017,Monitor,Computadores,Centro-Oeste,9.0,1364.82
329,2025-03-06,Cliente_010,Monitor,Computadores,Nordeste,6.0,1264.04
330,2025-12-05,Cliente_009,Teclado,Perifericos,Norte,7.0,
331,2025-05-28,Cliente_050,Smartphone,Celulares,Nordeste,1.0,2236.93
332,2025-01-06,Cliente_018,Smartphone,Celulares,Sul,8.0,2048.93
333,2025-03-03,cliente#013,Mouse,Perifericos,Sudeste,6.0,107.78
334,2025-03-23,cliente#015,Headset,Perifericos,Centro-Oeste,7.0,363.77
335,2025-02-22,Cliente_030,Mouse,Perifericos,Norte,,115.09
336,2025-11-09,Cliente_006,Smartphone,Celulares,Sudeste,6.0,2394.19
337,2025-05-13,Cliente_001,Teclado,Perifericos,Sul,9.0,231.89
338,2025-05-21,Cliente_037,Teclado,Perifericos,Centro-Oeste,,259.47
339,2025-12-21,Cliente_025,Headset,Perifericos,Centro-Oeste,1.0,298.16
340,2025-11-18,Cliente_023,  Teclado ,Perifericos,Norte,4.0,254.01
341,2025-08-20,Cliente_048,Notebook,Computadores,Sul,7.0,3846.13
342,2025-05-06,CLIENTE-030,Mouse,Perifericos,Sul,4.0,117.57
343,2025-07-23,Cliente_013,Tablet,Celulares,Norte,,1878.93
